* This data was exported from the Dayton Audio Test System: DATS
*
D    	0	[mm]
Re   	999.9	[Ohms]
Fs   	0	[Hz]
Zm   	0	[Ohms]
BL   	0	[N/A]
Qms  	0
Qes  	0
Qts  	0
Vas  	0 	[liters]
L10k 	0	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
1.029    	999.534    	0.725    
1.059    	999.534    	0.725    
1.091    	999.534    	0.725    
1.122    	999.534    	0.725    
1.155    	999.534    	0.725    
1.189    	999.534    	0.725    
1.224    	999.534    	0.725    
1.260    	999.534    	0.725    
1.297    	999.534    	0.725    
1.335    	999.586    	0.665    
1.374    	999.586    	0.665    
1.414    	999.586    	0.665    
1.456    	999.586    	0.665    
1.498    	999.586    	0.665    
1.542    	999.586    	0.665    
1.587    	999.586    	0.665    
1.634    	999.586    	0.665    
1.682    	999.774    	0.610    
1.731    	999.774    	0.610    
1.782    	999.774    	0.610    
1.834    	999.774    	0.610    
1.888    	999.774    	0.610    
1.943    	999.774    	0.610    
2.000    	1000.255    	0.542    
2.059    	1000.255    	0.542    
2.119    	1000.255    	0.542    
2.181    	1000.255    	0.542    
2.245    	1000.255    	0.542    
2.311    	1000.255    	0.542    
2.378    	1000.692    	0.466    
2.448    	1000.692    	0.466    
2.520    	1000.692    	0.466    
2.594    	1000.692    	0.466    
2.670    	1000.790    	0.386    
2.748    	1000.790    	0.386    
2.828    	1000.790    	0.386    
2.911    	1000.790    	0.386    
2.997    	1000.802    	0.324    
3.084    	1000.802    	0.324    
3.175    	1000.802    	0.324    
3.268    	1000.802    	0.324    
3.364    	1000.893    	0.273    
3.462    	1000.893    	0.273    
3.564    	1000.893    	0.273    
3.668    	1001.138    	0.235    
3.775    	1001.138    	0.235    
3.886    	1001.138    	0.235    
4.000    	1001.440    	0.208    
4.117    	1001.440    	0.208    
4.238    	1001.440    	0.208    
4.362    	1001.659    	0.187    
4.490    	1001.659    	0.187    
4.621    	1001.659    	0.187    
4.757    	1001.809    	0.173    
4.896    	1001.809    	0.173    
5.040    	1001.866    	0.163    
5.187    	1001.866    	0.163    
5.339    	1001.792    	0.156    
5.496    	1001.792    	0.156    
5.657    	1001.802    	0.152    
5.823    	1001.802    	0.152    
5.993    	1001.916    	0.150    
6.169    	1001.916    	0.150    
6.350    	1001.885    	0.148    
6.536    	1001.885    	0.148    
6.727    	1001.721    	0.145    
6.924    	1001.721    	0.145    
7.127    	1001.518    	0.138    
7.336    	1001.291    	0.127    
7.551    	1001.291    	0.127    
7.772    	1001.216    	0.114    
8.000    	1001.419    	0.099    
8.234    	1001.419    	0.099    
8.476    	1001.754    	0.083    
8.724    	1001.968    	0.066    
8.980    	1002.024    	0.048    
9.243    	1002.024    	0.048    
9.514    	1002.170    	0.031    
9.792    	1002.519    	0.019    
10.079    	1002.858    	0.014    
10.375    	1003.097    	0.014    
10.679    	1003.318    	0.018    
10.992    	1003.458    	0.027    
11.314    	1003.521    	0.042    
11.645    	1003.684    	0.062    
11.986    	1003.904    	0.084    
12.338    	1003.946    	0.106    
12.699    	1003.813    	0.127    
13.071    	1003.641    	0.147    
13.454    	1003.379    	0.166    
13.849    	1002.961    	0.182    
14.254    	1002.561    	0.194    
14.672    	1002.083    	0.202    
15.102    	1001.430    	0.199    
15.545    	1001.049    	0.190    
16.000    	1000.568    	0.166    
16.469    	1000.012    	0.133    
16.951    	999.609    	0.090    
17.448    	999.683    	0.048    
17.959    	1000.127    	0.006    
18.486    	1000.322    	-0.033    
19.027    	1000.392    	-0.062    
19.585    	1000.944    	-0.088    
20.159    	1001.883    	-0.092    
20.749    	1002.779    	-0.075    
21.357    	1003.591    	-0.036    
21.983    	1003.673    	0.016    
22.627    	1003.769    	0.063    
23.290    	1003.863    	0.102    
23.973    	1002.925    	0.133    
24.675    	1002.045    	0.141    
25.398    	1001.436    	0.134    
26.143    	1001.055    	0.102    
26.909    	1000.976    	0.052    
27.697    	1001.214    	0.007    
28.509    	1001.807    	-0.007    
29.344    	1002.264    	-0.002    
30.204    	1002.710    	0.026    
31.089    	1002.379    	0.057    
32.000    	1002.019    	0.082    
32.938    	1001.354    	0.083    
33.903    	1000.749    	0.056    
34.896    	1000.827    	0.005    
35.919    	1001.323    	-0.047    
36.971    	1002.248    	-0.071    
38.055    	1003.067    	-0.051    
39.170    	1003.612    	0.012    
40.317    	1003.468    	0.090    
41.499    	1002.212    	0.142    
42.715    	1000.612    	0.139    
43.967    	999.919    	0.076    
45.255    	1000.219    	-0.020    
46.581    	1001.372    	-0.072    
47.946    	1002.546    	-0.063    
49.351    	1003.267    	-0.044    
50.797    	1002.577    	0.024    
52.285    	1001.562    	0.049    
53.817    	1001.507    	-0.011    
55.394    	1002.151    	-0.029    
57.018    	1002.717    	0.041    
58.688    	1002.330    	0.127    
60.408    	1000.547    	0.077    
62.178    	1000.268    	-0.046    
64.000    	1001.573    	-0.094    
65.875    	1003.213    	-0.017    
67.806    	1002.799    	0.113    
69.792    	1001.185    	0.120    
71.838    	1000.639    	0.007    
73.943    	1001.761    	-0.061    
76.109    	1002.024    	0.004    
78.339    	1001.497    	0.032    
80.635    	1001.513    	-0.012    
82.998    	1002.631    	0.038    
85.430    	1002.019    	0.119    
87.933    	1000.052    	0.029    
90.510    	1001.383    	-0.084    
93.162    	1003.003    	0.009    
95.892    	1001.866    	0.096    
98.701    	1001.509    	-0.014    
101.594    	1002.078    	0.004    
104.571    	1001.040    	0.029    
107.635    	1002.018    	-0.055    
110.789    	1002.840    	0.042    
114.035    	1000.465    	0.065    
117.377    	1001.353    	-0.049    
120.816    	1002.691    	0.032    
124.356    	1001.297    	0.012    
128.000    	1001.969    	0.031    
131.751    	1000.958    	0.015    
135.611    	1002.804    	-0.022    
139.585    	1001.522    	0.077    
143.675    	1001.089    	-0.035    
147.885    	1002.101    	0.035    
152.219    	1002.165    	-0.007    
156.679    	1001.516    	0.066    
161.270    	1001.945    	-0.053    
165.995    	1001.918    	0.075    
170.860    	1001.599    	-0.010    
175.866    	1001.336    	0.016    
181.019    	1002.268    	0.045    
186.324    	1001.049    	-0.019    
191.783    	1002.237    	0.037    
197.403    	1001.675    	0.005    
203.187    	1001.855    	-0.011    
209.141    	1001.921    	0.087    
215.269    	1001.826    	-0.001    
221.577    	1001.989    	0.031    
228.070    	1001.448    	0.017    
234.753    	1001.931    	0.049    
241.632    	1001.501    	0.013    
248.712    	1002.216    	0.019    
256.000    	1001.329    	0.012    
263.501    	1001.591    	0.054    
271.223    	1001.682    	0.013    
279.170    	1001.628    	0.030    
287.350    	1001.836    	0.014    
295.770    	1001.496    	0.019    
304.437    	1001.747    	0.035    
313.358    	1001.766    	0.039    
322.540    	1001.804    	0.031    
331.991    	1001.851    	0.013    
341.719    	1001.632    	0.007    
351.732    	1001.620    	0.029    
362.039    	1001.860    	0.046    
372.647    	1001.734    	0.020    
383.567    	1001.870    	0.051    
394.806    	1001.676    	0.049    
406.375    	1001.899    	0.026    
418.282    	1001.921    	0.043    
430.539    	1001.808    	0.017    
443.155    	1001.849    	0.050    
456.140    	1001.726    	0.043    
469.506    	1001.706    	0.043    
483.264    	1001.683    	0.029    
497.424    	1001.775    	0.034    
512.000    	1001.789    	0.052    
527.003    	1001.740    	0.046    
542.445    	1002.057    	0.038    
558.340    	1001.749    	0.017    
574.701    	1001.429    	0.062    
591.541    	1001.489    	0.066    
608.874    	1001.690    	0.050    
626.715    	1001.687    	0.053    
645.080    	1001.732    	0.044    
663.982    	1001.563    	0.062    
683.438    	1001.454    	0.038    
703.464    	1001.847    	0.043    
724.077    	1001.679    	0.050    
745.294    	1001.507    	0.052    
767.133    	1001.478    	0.056    
789.612    	1001.401    	0.074    
812.749    	1001.702    	0.071    
836.565    	1001.707    	0.077    
861.078    	1001.404    	0.067    
886.309    	1001.453    	0.078    
912.280    	1001.320    	0.080    
939.012    	1001.341    	0.082    
966.527    	1001.165    	0.064    
994.849    	1001.593    	0.065    
1024.000    	1001.420    	0.072    
1054.005    	1001.355    	0.096    
1084.890    	1001.650    	0.084    
1116.680    	1001.576    	0.097    
1149.401    	1001.438    	0.086    
1183.081    	1001.728    	0.082    
1217.748    	1001.606    	0.099    
