* This data was exported from the Dayton Audio Test System: DATS
*
D    	0	[mm]
Re   	0	[Ohms]
Fs   	0	[Hz]
Zm   	0	[Ohms]
BL   	0	[N/A]
Qms  	0
Qes  	0
Qts  	0
Vas  	0 	[liters]
L10k 	0	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
1.029    	0.015    	-0.606    
1.059    	0.015    	-0.606    
1.091    	0.015    	-0.606    
1.122    	0.015    	-0.606    
1.155    	0.015    	-0.606    
1.189    	0.015    	-0.606    
1.224    	0.015    	-0.606    
1.260    	0.015    	-0.606    
1.297    	0.015    	-0.606    
1.335    	0.014    	-0.530    
1.374    	0.014    	-0.530    
1.414    	0.014    	-0.530    
1.456    	0.014    	-0.530    
1.498    	0.014    	-0.530    
1.542    	0.014    	-0.530    
1.587    	0.014    	-0.530    
1.634    	0.014    	-0.530    
1.682    	0.015    	-0.487    
1.731    	0.015    	-0.487    
1.782    	0.015    	-0.487    
1.834    	0.015    	-0.487    
1.888    	0.015    	-0.487    
1.943    	0.015    	-0.487    
2.000    	0.016    	-0.449    
2.059    	0.016    	-0.449    
2.119    	0.016    	-0.449    
2.181    	0.016    	-0.449    
2.245    	0.016    	-0.449    
2.311    	0.016    	-0.449    
2.378    	0.018    	-0.405    
2.448    	0.018    	-0.405    
2.520    	0.018    	-0.405    
2.594    	0.018    	-0.405    
2.670    	0.018    	-0.368    
2.748    	0.018    	-0.368    
2.828    	0.018    	-0.368    
2.911    	0.018    	-0.368    
2.997    	0.015    	-0.322    
3.084    	0.015    	-0.322    
3.175    	0.015    	-0.322    
3.268    	0.015    	-0.322    
3.364    	0.015    	-0.249    
3.462    	0.015    	-0.249    
3.564    	0.015    	-0.249    
3.668    	0.013    	-0.173    
3.775    	0.013    	-0.173    
3.886    	0.013    	-0.173    
4.000    	0.016    	-0.147    
4.117    	0.016    	-0.147    
4.238    	0.016    	-0.147    
4.362    	0.016    	0.038    
4.490    	0.016    	0.038    
4.621    	0.016    	0.038    
4.757    	0.016    	0.253    
4.896    	0.016    	0.253    
5.040    	0.015    	0.437    
5.187    	0.015    	0.437    
5.339    	0.013    	0.395    
5.496    	0.013    	0.395    
5.657    	0.013    	0.295    
5.823    	0.013    	0.295    
5.993    	0.012    	0.226    
6.169    	0.012    	0.226    
6.350    	0.011    	0.173    
6.536    	0.011    	0.173    
6.727    	0.011    	0.122    
6.924    	0.011    	0.122    
7.127    	0.010    	0.079    
