Trace
Swept SA
A.13.07,N9020A
508 B25 PFR ,01
Segment,0
Number of Points,40001
Sweep Time,5
Start Frequency,1000
Stop Frequency,50000
Average Count,0
Average Type,LogPower(Video)
RBW,470
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,470
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,28810
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000,-30.1408996582031
1001.225,-30.0639991760254
1002.45,-30.0289096832275
1003.675,-29.9453182220459
1004.9,-29.7939968109131
1006.125,-29.6301326751709
1007.35,-29.5248012542725
1008.575,-29.4963989257813
1009.8,-29.4654884338379
1011.025,-29.3785533905029
1012.25,-29.2439556121826
1013.475,-29.1252460479736
1014.7,-29.0625610351563
1015.925,-29.0207805633545
1017.15,-28.9580955505371
1018.375,-28.8678150177002
1019.6,-28.7976036071777
1020.825,-28.7850894927979
1022.05,-28.7909736633301
1023.275,-28.8202686309814
1024.5,-28.7751445770264
1025.725,-28.675666809082
1026.95,-28.5770244598389
1028.175,-28.4875812530518
1029.4,-28.3889389038086
1030.625,-28.2560138702393
1031.85,-28.1046905517578
1033.075,-27.9751110076904
1034.3,-27.8806495666504
1035.525,-27.8104381561279
1036.75,-27.7268486022949
1037.975,-27.6282062530518
1039.2,-27.5379276275635
1040.425,-27.4836044311523
1041.65,-27.4719257354736
1042.875,-27.4719562530518
1044.1,-27.4795112609863
1045.325,-27.491247177124
1046.55,-27.5121803283691
1047.775,-27.5515117645264
1049,-27.6025485992432
1050.225,-27.6034145355225
1051.45,-27.5265140533447
1052.675,-27.4203453063965
1053.9,-27.3108329772949
1055.125,-27.2013206481934
1056.35,-27.0867919921875
1057.575,-26.9714260101318
1058.8,-26.8669319152832
1060.025,-26.7858505249023
1061.25,-26.7173118591309
1062.475,-26.6454277038574
1063.7,-26.5534763336182
1064.925,-26.4481449127197
1066.15,-26.3461570739746
1067.375,-26.2567138671875
1068.6,-26.1814861297607
1069.825,-26.1213092803955
1071.05,-26.0795288085938
1072.275,-26.0653419494629
1073.5,-26.065372467041
1074.725,-26.0796165466309
1075.95,-26.109748840332
1077.175,-26.126501083374
1078.4,-26.0897388458252
1079.625,-26.0237083435059
1080.85,-25.9309196472168
1082.075,-25.81471824646
1083.3,-25.6817932128906
1084.525,-25.5455226898193
1085.75,-25.4217948913574
1086.975,-25.3231525421143
1088.2,-25.2470893859863
1089.425,-25.1894207000732
1090.65,-25.1451320648193
1091.875,-25.110876083374
1093.1,-25.0824756622314
1094.325,-25.0524024963379
1095.55,-25.0148029327393
1096.775,-24.9663314819336
1098,-24.9128456115723
1099.225,-24.8627033233643
1100.45,-24.8167419433594
1101.675,-24.7749614715576
1102.9,-24.7331809997559
1104.125,-24.688892364502
1105.35,-24.6437664031982
1106.575,-24.5986404418945
1107.8,-24.5551872253418
1109.025,-24.5100631713867
1110.25,-24.4641017913818
1111.475,-24.418140411377
1112.7,-24.3696708679199
1113.925,-24.3153457641602
1115.15,-24.2501525878906
1116.375,-24.1724166870117
1117.6,-24.084644317627
1118.825,-23.9926929473877
1120.05,-23.9032497406006
1121.275,-23.8221683502197
1122.5,-23.7553005218506
1123.725,-23.7043228149414
1124.95,-23.6709041595459
1126.175,-23.6525363922119
1127.4,-23.6400241851807
1128.625,-23.626672744751
1129.85,-23.6041259765625
1131.075,-23.569034576416
